idDatosGrasas,codigoGrasa,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm",Indice de Carga-Desgaste,"Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Corrion EMCOR,Corrosión al Cobre,Registro NSF,Bombeabilidad,Clasificacion ISO 6743-9,"Presion de Flujo a -30°C, mbar","Separacion del Aceite, %",Prevencion a la Corrosion,Resistencia a la Humedad,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",categoria,subtitulo,descripcion,beneficios,aplicaciones,color,textura,"Water Spray-off, %",Bearing Rust (ASTM D1743),Low Temp Torque @-40°C (Nm),Base Oil ISO VG (si aplica),"Contenido MoS2, %",Color (PDF),Textura (PDF),Notas
52,ANDEROL FGCS-2,Aceite Blanco (White Oil),Complejo Sulfonato de Calcio,2,95,265 - 295,318,,408.0,,,,0.3,,,H1,,,,,Excelente,Excelente resistencia al lavado,,-20.0,160.0,Grasa,,Grasa grado alimenticio (H1) de complejo sulfonato de calcio con alta estabilidad mecánica y excelente resistencia al agua.,,Aplicaciones grado alimenticio con cargas severas y presencia de agua.,,,,,11.0,,,Tan,,Designación DIN 51502: KP 2 U-40; Vida en rodamiento a 160°C: 180 h
53,Chevron Delo Grease EP 1,Mineral altamente refinado,Complejo de Litio,1,226,325,245,,315.0,0.45,,50.0,10.0,,1b,,Excelente a baja T°,,,5,Pasa (5% agua de mar sintética),Buena,,-40.0,177.0,Grasa,,Grasa EP para rodamientos y chasis; alta estabilidad térmica y buena protección contra corrosión y desgaste.,,"Flotas, vehículos de servicio, sistemas centralizados, rodamientos alta T°.",Azul,Pegajosa,30.0,Pasa,,220.0,,Blue,Tacky,NLGI GC-LB
54,Chevron Delo Grease EP 2,Mineral altamente refinado,Complejo de Litio,2,226,280,255,,315.0,0.45,,50.0,5.0,,1b,,Excelente a baja T°,,,5,Pasa (5% agua de mar sintética),Buena,,-40.0,177.0,Grasa,,Grasa EP para rodamientos y chasis; alta estabilidad térmica y buena protección contra corrosión y desgaste.,,"Flotas, vehículos de servicio, sistemas centralizados, rodamientos alta T°.",Azul,Pegajosa,20.0,Pasa,,220.0,,Blue,Tacky,NLGI GC-LB
55,Chevron Starplex EP 1 M3,Mineral altamente refinado,Complejo de Litio,1,220,325,245,,400.0,0.43,72.0,50.0,,,1a,,Buena,,,,Aprobar (ASTM D1743),Buena,,-40.0,177.0,Grasa,,"Grasa EP con 3% MoS2 para servicio severo, mejor control de desgaste y carga de choque.",,"Servicio severo en carretera y fuera de carretera; bujes, pernos, quinta rueda.",Gris/negro,Suave/grasosa,30.0,Aprobar,,220.0,3.0,Gris/negro,"Suave, grasosa",
56,Chevron Starplex EP 2 M3,Mineral altamente refinado,Complejo de Litio,2,220,280,255,,400.0,0.43,72.0,50.0,,,1a,,Buena,,,,Aprobar (ASTM D1743),Buena,,-40.0,177.0,Grasa,,"Grasa EP con 3% MoS2 para servicio severo, mejor control de desgaste y carga de choque.",,"Servicio severo en carretera y fuera de carretera; bujes, pernos, quinta rueda.",Gris/negro,Suave/grasosa,20.0,Aprobar,,220.0,3.0,Gris/negro,"Suave, grasosa",
57,COGELSA ULTRAPLEX MCS 1,Mineral (alto refino),Complejo Sulfonato de Calcio (reforzada),1,460,320,300,,620.0,0.31,,,,,1a,,,ISO-L-XBEIB 1,,0.12,Pasa (ASTM D1743),Alta (niebla salina >1000 h),,-20.0,180.0,Grasa,,Grasa de sulfonato de calcio reforzada para cargas muy altas y ambientes severos.,,"Cojinetes, engranajes abiertos, reductores, cables; industrias minera, siderúrgica, papelera, cementera, etc.",Ámbar anaranjada transparente,,18.0,Pasa,,,,Ámbar anaranjada,,Ensayo niebla salina ASTM B-117 >1000 h
58,COGELSA ULTRAPLEX MCS 2,Mineral (alto refino),Complejo Sulfonato de Calcio (reforzada),2,460,285,300,,620.0,0.31,,,,,1a,,,ISO-L-XBEIB 2,,0.08,Pasa (ASTM D1743),Alta (niebla salina >1000 h),,-20.0,180.0,Grasa,,Grasa de sulfonato de calcio reforzada para cargas muy altas y ambientes severos.,,"Cojinetes, engranajes abiertos, reductores, cables; industrias minera, siderúrgica, papelera, cementera, etc.",Ámbar anaranjada transparente,,11.0,Pasa,,,,Ámbar anaranjada,,Ensayo niebla salina ASTM B-117 >1000 h
59,ELKALUB GLS 163,"Mineral (ISO VG 100), parcialmente sintético",Orgánico sintético (poliurea) + PTFE,2,100,290,250,,,,,,,,Grado 1,,Buena (sistemas centralizados; requiere pistón seguidor),,,< 1,,Resistencia al agua 0/40 y 0/90,,,,Grasa,Grasa especial tixotrópica,Grasa verde tixotrópica de alta pureza; se fluidifica bajo presión y vuelve a su consistencia en reposo.,,"Asientos de pinzas, husillos, cojinetes lentos con sellado insuficiente y rápidos con buen sellado.",Verde,"Fibra corta, muy flexible",,,,100.0,,Verde,Fibra corta; tixotrópica,4 bolas: 2000 N (pasa); separación de aceite <1%; requiere pistón seguidor
